Commune,mean
BOISSY-LE-SEC,2282.0
LA GARENNE-COLOMBES,7418.0
LA CELLE-SUR-MORIN,2849.0
JABLINES,3464.0
VERT-SAINT-DENIS,3202.0
LA CHAPELLE-LA-REINE,2360.0
LEUVILLE-SUR-ORGE,3338.0
TILLY,2242.0
SACLAS,2592.0
LE BLANC-MESNIL,4017.0
VERT-LE-PETIT,3225.0
GOUVERNES,4017.0
LOGNES,3553.0
COMPANS,2868.0
PONTHEVRARD,2937.0
OBSONVILLE,1405.0
FROUVILLE,10132.0
FAVIERES,3482.0
BOINVILLIERS,2544.0
OCQUERRE,2073.0
BOIGNEVILLE,2695.0
VILLEJUST,3860.0
LASSY,2266.0
ORGEVAL,4780.0
CHERENCE,2799.0
PROVINS,2113.0
VAUHALLAN,5189.0
GAGNY,3956.0
PARIS-15E-ARRONDISSEMENT,10758.0
SEVRES,7235.0
VILLENOY,3454.0
BAZAINVILLE,2650.0
SAINT-LEGER-EN-YVELINES,3520.0
EPISY,
FLEURY-EN-BIERE,4329.0
BOISSISE-LA-BERTRAND,3433.0
SAINT-CLAIR-SUR-EPTE,2085.0
SANNOIS,4515.0
HEROUVILLE,3240.0
PARAY-VIEILLE-POSTE,4254.0
GROSROUVRE,4824.0
MENUCOURT,3479.0
BLANDY,2208.0
VERT,2914.0
FORGES-LES-BAINS,3341.0
EVRY,2731.0
NOISY-RUDIGNON,1690.0
GUILLERVAL,2428.0
CHAMPMOTTEUX,2146.0
CHATEAUFORT,4745.0
ECHARCON,3045.0
TOUQUIN,2702.0
LA ROCHE-GUYON,2586.0
GUERMANTES,4459.0
SAINT-OUEN-EN-BRIE,2677.0
CHAMPS-SUR-MARNE,4182.0
BOUTERVILLIERS,2589.0
ASNIERES-SUR-OISE,3471.0
BURES-SUR-YVETTE,4509.0
LE PERRAY-EN-YVELINES,3632.0
COURDIMANCHE-SUR-ESSONNE,2535.0
FERICY,2770.0
GESVRES-LE-CHAPITRE,2680.0
FONTENAY-LE-FLEURY,4312.0
SAULX-MARCHAIS,3481.0
ROUILLY,2210.0
VANVILLE,1984.0
CORMEILLES-EN-PARISIS,4534.0
MONTFORT-L'AMAURY,4382.0
MENERVILLE,
FRESNES,4533.0
